姓名,手机,年龄
王培伦,13386375402,19
陈蕙侑,13612108783,29
蔡宜慧,13339369931,20
陈信意,13952696911,27
陈惠雯,15233599382,20
张琇纶,18701230961,28
黄碧仪,15989118789,27
陈志文,15729053445,25
谢懿富,15624844099,19
杨凡靖,15106057497,24
蔡秀琴,15137287932,20
温惠玲,15240606793,24
林宗其,18845410394,23
林绍泰,13801378626,19
何佳慧,18894724980,23
蔡辰纶,13426644119,22
王雅雯,13267666488,26
叶怡财,15649480151,20
冯雅筑,13928642582,21
李伦圣,13399151480,21
彭正仁,15395745145,28
刘小紫,15324982101,20
温燕达,18910293456,26
刘佳雨,15300143780,20
吴婷婷,13643856686,18
杨怡君,15818814105,19
黄康刚,13871314479,27
林辰和,13158056318,26
陈世人,18846671946,25
吴佩霖,15320962074,19
张伟杰,13303621350,26
刘友淳,15171772098,21
张瑞群,13869202795,18
洪紫芬,15262134127,27
邓家伟,15718471356,21
谢佩任,13913830111,21
戎郁文,13617586876,20
李治火,18862298437,24
林石美,13648376542,20
郑雅茜,15314330876,19
胡台泰,13321853968,19
陈怡盈,13465986667,25
阙石意,15979555298,22
林盈威,13700161566,22
林志嘉,15523578349,29
李秀玲,18689431121,28
王彦霖,18803501904,21
叶惟芷,18915485573,21
郑星钰,13235863000,22
邱贞伟,13498655285,23
姚扬云,13383875526,28
涂武盛,18632786120,18
王雅顺,13272485142,21
唐欣仪,18655663662,20
陈政圣,15977565353,23
陈育福,15855677890,20
吴惠雯,13706213039,28
李淑淑,18784719210,28
黄莉秋,15106451723,28
赖俊军,18533333074,25
荆彦璋,13627423172,28
白怡均,13751131305,18
林姿辛,13864151555,19
林雅慧,13292649894,23
詹允坚,18798465502,18
赖淑珍,15805446489,18
吴惠美,15199648401,18
李凯婷,18797112910,26
林承辰,15594668513,21
刘亭宝,18980896815,26
宋慧元,13927002379,25
连书忠,13540802763,26
余仪礼,15649608429,18
袁哲仪,13778597105,23
杜怡臻,15340993724,22
潘孝东,15796772143,24
周志合,15888496384,27
刘力霞,18863197116,23
林钰婷,13411007963,24
林怡紫,18985239422,19
林俊凯,15101568616,26
蔡于纬,13807557403,20
蔡雅惠,13115638840,21
汪喜祥,13895003343,29
陈铭侑,13632940867,22
郭子珠,15621815530,29
许伦吉,13859768378,22
陈佳雨,15520727011,20
赖英贤,18942829013,18
吴嘉茹,13717194792,19
陈永桂,15211313126,22
张文宏,13265607926,18
唐欣怡,13530044848,23
丁绍燕,18834212154,20
王雅谕,13742073549,24
叶柏宇,13940047843,22
王婉萍,13633177171,25
王宗清,13905275128,20
刘心霖,15306551551,26
吴柏廷,15140570942,22
陈怡臻,15624836835,22
杜士豪,15513452554,25
李春勋,13170806842,27
黄雅慧,18956967127,20
吴乔茂,15231023481,27
郑婉如,15518136899,26
李育坚,15731246164,21
黄静雯,13122856900,22
赵一蓉,15949921591,23
邱萱俐,18825957986,20
周立妹,15295439664,21
李宝其,15262651308,21
张信豪,15814384722,24
李昆霖,18672504865,28
陈俊安,13433196249,18
林建志,15193532009,27
黄韦伶,13607976702,28
李美麟,13392527930,18
张政达,18663000990,18
郑惠玲,13667633193,20
柳忠廷,18653729151,29
黄美娟,18671321785,25
许怡君,13309875565,25
吴崇南,18869260760,27
邱承芷,18779671939,26
叶得梅,15890015771,24
陈祯月,18803325864,27
杨宛儒,15218297410,20
阮肇宪,15931450836,28
杨益霞,13838447785,28
唐盛人,18715754282,20
许平纬,13490309388,23
许雅如,13117108555,27
林秀绮,15903406422,20
刘昌东,18966748781,27
张家荣,13641840516,23
杨淑君,18812744451,22
吴俊民,15167761771,21
李彦瑜,15847442974,28
李彦文,13608186135,26
王崇以,13465119322,25
王威全,13447318513,20
彭琳以,15948917734,26
许志任,15114442454,25
陈嘉杰,15875142604,28
蔡志远,13568780850,21
陈信文,13105378401,24
陈思廷,13991762578,21
吴家毓,13630994045,28
李宜紫,13294395903,29
杨毅民,15919265659,18
林志平,13160287821,27
张坚凤,13458873446,26
林明春,13960943339,21
戴火劭,13510459723,22
傅予名,13313737620,20
叶佩璇,13518813506,25
陈雅雯,15861090894,24
萧宗毅,18792443573,29
郭淑媛,15923867302,28
刘淑卿,15540783965,19
陈雅萍,15537831207,18
陈佩木,13188613446,19
冯惠玲,18968789678,25
吴乃亚,15376155947,24
刘欣怡,13769493239,23
陈意婷,15534939813,18
林明珠,15852727895,18
陈淑婷,15356186098,29
徐宏亦,15329969404,27
李佳德,18704641550,20
蔡正信,18609132011,21
李淑敏,13336790569,18
蒋佳玲,18713267018,20
蔡佳明,15572421173,26
简淑惠,13386510652,20
张雅菱,15855744338,21
颜淳奇,13914878933,22
刘芳仪,13198041419,20
陈俊玮,18934801763,27
黄雯坚,15153284686,22
侯文贤,15789530027,24
郑雅雯,13569543791,21
黄雅俐,13431436402,21
陈婉婷,18568071950,29
郑智杰,13236429139,19
林玉信,15782158742,26
阮侑美,13192320422,24
潘怡婷,18861885102,18
黄世祥,13710330064,19
张韦水,13602135300,18
黄彦慈,13449222873,29
张峻香,15845310517,22
宋轩天,13153201284,21
周妤军,15271072788,29
江佩玲,15323777672,21
陈美芝,18826153737,29
张伦启,13786225965,21
陈敏爱,15561975325,24
杨毓娇,15398360393,27
谢姿君,15145195791,20
赖姿泰,13522936965,24
黄圣映,18648439967,22
林柏燕,13624678700,18
黄馨香,13866702414,21
叶于玟,15585458118,18
陈山茹,13611536220,24
魏得凤,13774056406,21
张明翰,13474717284,27
林冠强,15373985268,25
李文荣,13918329161,24
龚静雯,15730500439,26
陈伟孝,15580624957,19
刘信俊,15879339034,19
李美治,18794968253,21
徐景隆,18858867580,28
刘怡洁,18901988318,20
陈钰梦,13498687083,28
谢静宜,15603796328,29
戴惠如,15572771360,25
王香君,13784658784,29
钟汉馨,15894479010,21
郑国玮,15871313159,27
张哲亚,15173786014,25
詹南勋,13456689824,19
潘秋福,15909548002,24
黄奕君,18933587069,21
郭琬婷,13659594970,28
冯家华,18838352234,25
吴佩仁,18810390067,28
周思颖,15907852364,19
张柏钧,13582688346,24
吴世伟,18594669801,25
朱佳琪,15562127510,27
陈宗馨,15804722809,22
黄菁坚,15145647457,19
郑建泉,13398400145,25
许金志,13477512303,26
平信宏,18746934938,29
蔡佳麟,15703903284,19
杨佳宏,15387566251,20
陈皓雅,15729951460,19
吴翊意,13809773904,22
张佩珊,18924245350,20
温欣桦,15395503851,29
王诗铭,15232343059,23
许宜辰,18736078508,22
林孟哲,13453455121,27
黄善宇,13429930670,22
王怡贵,15877470967,22
许淑玫,13938558842,18
张学玉,18927827790,26
黄美珍,18853473479,19
陈佳心,15648788740,20
宋其琪,13505191623,23
陈致昀,13458475801,19
王建福,13470371440,24
刘莹睿,18953573452,28
陈正莲,18571447577,18
冯萱雨,13400154442,20
金淑敏,18592526228,18
宋廷意,15265380112,27
吴承华,13580263283,19
陈家莲,15561522118,29
王志源,13715851637,25
张佩君,13117406165,23
黄志伟,18617703146,18
吴孟吟,15543635302,29
蔡玮玉,18695389117,27
张心怡,15546693960,20
吴志绿,13376964963,20
何武霖,15553879584,28
杨中惟,15850606788,26
王佑诚,13975094674,27
徐承财,13883175333,28
温伟伦,13146014765,26
萧郁婷,15759366718,24
陈世伟,13957880502,20
林敬书,18972965947,18
谢孟南,15514344159,26
项宜真,15684139549,19
崔美珠,15255913127,24
赖筱雯,15267920983,19
陈盛丰,13849482512,25
阮升云,15149057715,29
周怡季,13723218623,26
江佳芸,13249227528,25
郭惠君,18855901692,28
吕智文,18979211732,20
王琼龙,13500016288,18
陈姿茜,13999392776,26
张佩君,13973770112,29
李佩纬,13980372528,26
黄珮心,15757898098,22
李旭友,18686728647,19
王健以,18869766810,19
蔡幸弘,15833835147,29
刘智钧,18775825063,19
张佳颖,13178157702,27
郭东欣,13672561741,29
黄志忠,15256455680,26
李娇郁,13259354209,29
许欣怡,13943000300,22
杜劭依,13321088449,19
荣美君,13942073792,19
陈翠昆,15256614442,22
陈昆绍,15669528347,26
黄志佩,15289267544,27
黄舜文,15144269689,20
刘丽卿,18794859100,21
张倩纬,18783364049,22
施珮昆,15672410672,19
郑纬水,18527028390,19
林明玫,18759782512,25
郑琦希,18504003670,18
童家贤,18598864132,26
郭峻豪,18692005664,18
林雅豪,13578706017,25
曲祯妹,13680583242,29
林冠宇,18906161725,18
陈珍莹,18533158459,24
简玟君,13654725748,25
杜阳吟,18555612145,28
许雅菱,13456434678,19
叶木书,18646192610,24
黄文其,13564002550,18
陈景彦,18711864534,22
蒋承凯,13421233195,24
黄依萍,15545320006,26
黄珮秋,13315561316,21
郑文贤,13297635740,18
柯元燕,13274596007,22
李思雄,15880370374,23
王绍玉,18995505200,22
金尧珊,13147286252,28
李政绍,18851655042,25
叶法盛,13253436914,24
苏琪山,18554541553,21
邱思妤,15166215438,18
王若芳,18819642295,21
黎彦君,13918435647,19
冷翊瑜,18748569120,24
张明真,15583922669,19
李琪源,13557060843,28
林素侑,13209473570,26
孟敏宇,15206174257,20
怀雅惠,15287885542,20
吴士弘,13683605405,25
张世志,18563096932,24
袁志铭,18569230525,25
林千惠,15801616490,29
宋乐男,15114850176,28
黄淑贞,13956227846,20
王宗盛,18871165516,27
吴永臻,13842176600,24
陈富财,13351974306,20
钱孟儒,13758373998,20
谢百宜,13742865622,21
曹振豪,13536776762,27
陈品妃,18871385886,26
吴升财,15650319134,20
陈昀雪,15681940130,23
高淑娟,13394080323,19
林智钧,15330867479,26
林秋平,18746240182,24
王汉季,15378403233,20
黄仁添,13277460064,20
詹雅如,18642917743,22
蔡佳麟,13834503622,28
张美君,13932442503,22
孙姿吟,18704792289,25
陈孟善,13622814325,23
邓威育,15152145828,25
谢博容,15662530372,28
邓宗毅,15128067003,28
陈伟芷,13902642073,19
林原隆,18607418246,19
骆修秋,15571814108,25
李宜喜,18857105672,19
张雅婷,18729595615,21
许志紫,13125516481,21
陈子杰,18611231777,21
杨隆志,13226410350,20
李淑芬,15580570838,27
李惠文,18827864816,20
徐治蓉,15328754778,26
陈季苹,13656288576,22
陈佳霖,13534471959,24
赖和慈,15594056786,21
李怡伶,15917090201,29
林育来,15789001662,21
李宛仪,15540163356,27
高启淑,18914231511,24
吴碧沛,15963745056,29
蔡宗奇,15676766165,24
刘惠雯,13932201943,23
欧郁雯,13152273324,18
陈孟伟,18708817635,20
黄良财,18853379715,20
张介玟,13284333515,22
诸智湖,15239276414,21
陈雅惠,18868622977,29
林华昀,15766125799,28
刘慧惟,18896526769,29
赖碧仲,15767659593,18
温哲湖,13301260502,24
赖文豪,15573709625,20
王怡奇,15737177277,19
陈韵惠,15704432684,24
郭胜治,15992685735,18
梁佳慧,13853139004,23
梁晓雯,13343242034,22
陈育珍,18899827630,29
梁筱行,18595314749,25
黄宗筠,15761410978,24
阮紫瑄,15678620104,29
韩晓轩,13263570456,25
弓文欣,15743630787,25
周淑贞,15379263149,29
李骏轩,15883778361,28
黄俊颖,18668226313,26
黄建中,18936363133,27
吴惠文,15843136517,20
许梅天,18797863835,27
周丽珠,15254122300,23
夏宏达,15779106545,23
郭湖睿,15261147741,27
韩雅雯,15696477190,22
张伟智,18987023473,28
詹萱贵,18646769982,20
刘冠宇,15999899953,24
曾宛真,18570248236,26
吴惠仪,15803117911,20
韩孟儒,15876351357,23
李家铭,15160432301,25
赖哲荣,13997967283,20
陈建纬,13389695967,22
林威绿,18912467435,27
许佩桦,15906654541,20
吴欣星,13943867809,22
刘育亦,15767699289,18
黄国星,15619311087,22
童淑玲,18784212550,23
刘伟伦,15857249350,24
毛佳琳,13556496631,21
杨淑花,15765980815,22
蒋姿吟,15882930552,21
金佑诚,13662208216,27
高旺盈,13286835952,27
吴雅玲,15683410405,29
林蕙和,15544849301,27
王均智,13615628274,23
黄玉婷,13527887227,20
王胜杰,18621560181,25
黄惠祥,18605115887,23
林家青,18914514550,20
赖维乐,13182980709,18
蔡翠希,15389662798,26
蒋大鸿,13434653753,27
童百良,13849783723,18
刘克怡,15236527306,25
陈玉睿,18665507911,25
谢合海,13286361027,25
简江瑶,13755128785,23
程琬婷,13322619205,25
何怡如,13199787834,26
李雅雯,15524610486,21
钟雅雯,13991772261,23
于思秋,15693666624,26
王裕仁,13481157438,24
陈永秀,15386764523,29
陈惠如,18581559053,27
黄美君,15703619458,26
林盈秀,15555754347,24
王姿雯,13798631443,23
王旻峰,15943948297,24
郭淑卿,13417811715,23
谢盈冰,13422042111,22
魏淑华,18625004219,19
刘志宜,13801997751,26
张怡婷,15691599832,22
梁淑敏,13516444478,22
王白木,13291807905,27
方劭中,15636889633,20
田火劭,15740417870,29
叶佩正,13807232729,19
程巧欢,15117120025,18
陈玮弘,15349912447,19
张毅琳,18592677954,29
吴念筠,15290558982,20
张美惠,13863608307,24
陈欣白,13473082584,23
李怡文,13103507276,26
曹珊贵,13870692069,26
梁家豪,13623206327,22
洪月瑄,15564790417,24
李铭茹,15673521397,27
金杰蕙,15820183184,21
杨冠霖,18963852114,29
吴明宜,15780312447,26
陆怡雯,15367698420,25
黄立启,13842465193,24
林雅芸,15548939325,22
林佩毓,13890644109,24
李宜珊,13427643694,18
钱怡伶,15517797059,21
刘宗翰,13535539366,28
林台斌,15984571981,28
杨杰均,18931689479,27
连育如,18843741423,29
杨奕名,18584862527,18
郭玉婷,13153318484,26
王翊谦,15579141504,23
彭圣杰,18666384581,19
郑世杰,13172832749,22
吴承翰,13182268622,26
张琦芸,15157668138,25
邓淑芬,15195400485,27
陈佳芳,18889132512,22
吴秋良,15867370155,19
陈舜文,15774765209,24
蔡靖玮,13774200335,18
林雅舜,15396091637,29
张真勇,13123832149,28
邱益勇,15699142821,24
林懿淳,15223775631,21
郭美慧,18892232905,22
蔡智强,13133990439,18
张智苹,13570596651,23
陈冰茹,15271256903,23
李思纬,15864082293,26
郑馨仪,13776156169,23
程明辉,15905189287,29
陈弘善,15202505478,21
陈政勋,18862899732,26
卢琬杰,15256580703,26
黄柏菁,13982847138,27
刘佩儒,15958391249,27
陈韦贞,18504138114,25
许台法,13468821538,24
陶志祥,15233029868,25
吴俊宁,13195081610,21
李孟岳,15238410806,19
刘明宪,13790457044,19
吴耀英,18944689487,27
陈思桦,13421073702,24
井弘坤,15876443328,20
黄明萍,13188071110,29
陈姿颖,15317763169,21
张成欢,18877474440,19
张燕佳,13806252151,25
李雪鸿,15536083912,26
叶志伟,13177571631,29
王石竹,15149972456,28
孙心桂,18552180414,25
舒大钧,13832178963,24
林秋萍,15769881199,20
柯美惠,15540332523,22
姜上宪,13114606069,18
林欣淳,13305373224,18
郭雅娟,15774697914,29
宋采信,15598307271,26
韩贞仪,13117781405,25
李育羽,13841763488,18
冯玟泰,15137768757,20
林姿儒,13334785273,23
蔡敏坤,15672611041,27
林惠玲,18996138135,29
陈珮义,15711202029,24
林书祯,13420282665,26
黄政霖,15629271066,22
谢姿卿,13176617140,21
李爱轩,18808446317,23
陈秀纬,15267610848,23
蔡思妤,13859151444,20
黄伟成,15242996924,23
陈怡君,15915050658,26
林庭玮,15392246987,27
钱瑞钰,13648866627,21
罗嘉慧,15876773158,20
李仲伦,15315907887,28
曾家盈,18568533712,28
曹雅萍,13409634961,27
黄佳菁,13461416201,20
金淳恩,15546375189,24
陈士豪,18734581404,28
茹耀靖,15563226082,18
陈展礼,15819594033,28
杜家玮,13957841552,22
李晋丰,13340862031,21
周晴意,13869591507,23
左智超,15623701689,24
陈明安,15140756125,21
谢翊美,13984261034,26
王淑贞,15721855221,25
韩威任,15846829726,25
刘淑岳,13390561260,20
骆沛柔,13253668121,26
张韦雪,18614487421,25
吴慈山,13535586501,18
王子智,15765091537,25
陈思香,15961738132,23
黄美玲,13851448585,25
周雯轩,15115219926,25
王彦维,15871111543,22
杨惠佳,15830507153,26
李千惠,13192906954,24
郭刚男,13836785420,25
林伟翔,13219950969,23
张书松,15339554741,29
李昀柔,15989743639,20
钱慧敏,18760468306,24
黄蕙昀,18837923949,25
陈彦达,15521495979,22
邓怡雯,13919814950,19
胡伟智,15286866029,24
陈琪瑶,18601488619,24
王成祯,15576341255,19
袁辛茂,15506313960,23
丁淑辉,18968642660,25
白柏青,15581986110,27
谢佳瑞,13514436471,28
蔡宗雯,13464049421,18
詹昭云,13195882881,19
黄淑华,15708821276,24
李丽礼,13588489258,28
许贵宜,15174519707,24
蔡慧娟,13356319125,28
江丽娟,13586023860,21
刘育冰,18849014301,18
何家莹,18625655904,23
黄慧玲,13967235806,20
王淑勇,15225099700,27
吴亦扬,18846424070,21
吴佳书,15126415389,26
祖冠珠,15558406892,23
卢俊嘉,13998033165,29
郭志铭,13953685878,20
罗扬妃,18695107096,27
杨淑华,13226141402,20
黄妤伟,13812891544,25
孙维芬,13529061406,22
叶宜洁,13131158598,25
陈信俐,15338321193,24
谢琬婷,13301839320,28
陈筱杰,13764540620,26
周隆季,18625731846,20
涂慧君,15171589715,26
陈怡君,18889214012,23
赖韵英,13108178815,29
杜定鸿,13764052710,28
王淑梦,15250010473,29
吴伟侑,13445210098,18
萧芳仪,18510623058,26
陈筠智,15637579153,25
侯百宜,13650321685,18
王淑娟,18619903012,28
陈欣江,15727603972,23
吴胜杰,13684135380,18
黄宜君,18848335332,28
罗智钧,15241760871,26
刘淑娟,15301548170,29
李慈泉,13736760452,23
林莉婷,15391470561,26
丁容定,13315632877,19
吴建豪,13551355904,25
潘于恭,15763762023,21
赖怡伶,15742198781,18
詹佳颖,13773684125,29
傅姿蓉,13485913822,19
沈洁铭,15936433222,22
蔡文雯,15158359241,26
王凯婷,13194293192,29
张咏修,13996944725,18
辛雅萍,15890254823,19
袁贤欢,15759997347,18
柯冠良,15693384272,28
潘静宜,15708132857,19
黄明哲,15931763574,28
程俊宪,13763369886,18
陈宗颖,18912468367,25
陈玮郁,13958616441,18
吴佩琪,15167604488,18
陈馨薇,18722404979,19
陈萱虹,18610769130,23
谢雅惠,15219716565,19
杨雅康,15657774568,18
简志旺,18608096772,18
吕木云,15692846462,22
宋湘婷,15766983138,26
张玮俊,15929820333,27
王姿吟,18616438037,19
郑伟芳,15155436823,22
王文杰,15672229027,18
王芸茜,13219220577,28
黄柏幸,13498152020,22
罗芸纶,13862666877,23
曾欣怡,18919291398,20
陆怡萱,15373361372,20
黄千慈,15165072361,27
袁静如,15135478928,27
张昆元,13533965437,27
陈采勇,15584084754,20
马荣真,13223911554,24
刘湘舜,15612341136,23
曹智强,13469959011,25
许雅玲,15810010794,26
王彦儒,15845184167,25
林国芸,13861777406,29
陈雅慧,15268380496,21
钱群秋,15596480632,22
游思妤,13638900105,24
庾雅婷,13446597826,27
洪协慧,13469242998,19
林宜蓁,15960771395,24
简淑芬,13418230400,27
李文彬,13363797510,29
何义秀,15608627248,21
游石如,15754806214,29
陈睿佩,13385354554,20
葛真珍,15386210998,23
陈俊茂,15958861058,28
谢湖慧,13987436932,19
陈俊铭,15893700865,26
张芳坚,18707149789,23
陈冠廷,15341857386,29
叶静宜,13657520324,23
汤筠霞,13668129584,28
洪思贤,13783002115,19
骆文馨,15849961391,20
江淑玲,15193205997,22
邓仪绍,13198123775,26
林兰瑄,15710427208,23
丁俊毅,15519090565,28
白山贵,18547956940,23
陈胜火,18897448898,18
郭法美,18809603079,19
王雅云,18683474312,29
黄台育,18813099809,25
王嘉琪,18985786676,18
胡钰雯,15164166203,25
刘培宁,15814718084,20
林俊贤,13186403372,21
邓淳筠,13987021383,26
李汉霖,13471733718,21
杨秋雯,15865443447,28
蔡登木,15965895824,28
敖秀娟,13936356779,27
陈家弘,13456084999,24
苏承松,15562056089,18
陈盈昆,15758669854,26
谈亭美,15723481709,21
王怡祯,18787347289,23
叶胜群,18699084643,28
叶志鸿,15889169240,26
黄郁翔,18611005212,27
柯意孝,13948053807,24
杨莉倩,13362190318,27
吕孟儒,13869670030,29
蔡佩圣,15757382104,25
阮伦淑,15204483113,25
童启光,13404343390,22
王淑惠,18673319321,29
张淑智,13729198110,28
林正平,15712472819,18
陈家伟,13971445152,26
廖秋隆,15294347577,26
陈俊全,18912689510,22
邱天月,13299801021,24
黄智荣,15846057184,23
李昆文,13127600848,25
张钧幸,13724919311,29
林怡桦,13373145553,25
朱予义,15287819077,28
陈亭任,13509206698,22
黎雅雯,15219299357,22
马立山,15389527370,18
黄莉绿,15983099747,26
郑惠颖,13200433949,25
刘冠宏,15896113160,28
林雅婷,15661158802,24
陈伟义,18893756929,23
卢宝云,15169848562,26
陈俊泉,15676298987,29
吴容侑,15156700144,18
王怡以,13497731458,24
林志杰,13386452958,24
张雅茹,18820896147,18
苏映均,13135981503,26
